旋转前  axeX:1, 0, 0,axyY:0, 1, 0,axyZ:0, 0, 1,pos:0, 0, 0
旋转后  axeX:0.640386, 0.646031, -0.415392,axyY:-0.648887, 0.744426, 0.157403,axyZ:0.410915, 0.168744, 0.895921,pos:12.5067, 3.42743, 51.9172
旋转前  axeX:0.640386, 0.646031, -0.415392,axyY:-0.648887, 0.744426, 0.157403,axyZ:0.410915, 0.168744, 0.895921,pos:12.5067, 3.42743, 51.9172
旋转后  axeX:0.600969, 0.672748, -0.431563,axyY:-0.675784, 0.716002, 0.175092,axyZ:0.426793, 0.186418, 0.884927,pos:13.787, 3.98669, 54.572
旋转前  axeX:0.600969, 0.672748, -0.431563,axyY:-0.675784, 0.716002, 0.175092,axyZ:0.426793, 0.186418, 0.884927,pos:13.787, 3.98669, 54.572
旋转后  axeX:0.55995, 0.697829, -0.446644,axyY:-0.70103, 0.686374, 0.19351,axyZ:0.441602, 0.204755, 0.873535,pos:15.1119, 4.60095, 57.1926
旋转前  axeX:0.55995, 0.697829, -0.446644,axyY:-0.70103, 0.686374, 0.19351,axyZ:0.441602, 0.204755, 0.873535,pos:15.1119, 4.60095, 57.1926
旋转后  axeX:0.517424, 0.721199, -0.460591,axyY:-0.724549, 0.65561, 0.212611,axyZ:0.455303, 0.223711, 0.861773,pos:16.4778, 5.27208, 59.778
旋转前  axeX:0.517424, 0.721199, -0.460591,axyY:-0.724549, 0.65561, 0.212611,axyZ:0.455303, 0.223711, 0.861773,pos:16.4778, 5.27208, 59.778
旋转后  axeX:0.473506, 0.742777, -0.473365,axyY:-0.746258, 0.623792, 0.23234,axyZ:0.467858, 0.243238, 0.849673,pos:17.8813, 6.0018, 62.327
旋转前  axeX:0.473506, 0.742777, -0.473365,axyY:-0.746258, 0.623792, 0.23234,axyZ:0.467858, 0.243238, 0.849673,pos:17.8813, 6.0018, 62.327
旋转后  axeX:0.428305, 0.762496, -0.484928,axyY:-0.766087, 0.590999, 0.252646,axyZ:0.479234, 0.263288, 0.837266,pos:19.319, 6.79166, 64.8388
旋转前  axeX:0.428305, 0.762496, -0.484928,axyY:-0.766087, 0.590999, 0.252646,axyZ:0.479234, 0.263288, 0.837266,pos:19.319, 6.79166, 64.8388
旋转后  axeX:0.381962, 0.780273, -0.495258,axyY:-0.783959, 0.557339, 0.273461,axyZ:0.4894, 0.28381, 0.824584,pos:20.7872, 7.64309, 67.3125
旋转前  axeX:0.381962, 0.780273, -0.495258,axyY:-0.783959, 0.557339, 0.273461,axyZ:0.4894, 0.28381, 0.824584,pos:20.7872, 7.64309, 67.3125
旋转后  axeX:0.334591, 0.796058, -0.504322,axyY:-0.799822, 0.522893, 0.294732,axyZ:0.49833, 0.304753, 0.811661,pos:22.2822, 8.55735, 69.7475
旋转前  axeX:0.334591, 0.796058, -0.504322,axyY:-0.799822, 0.522893, 0.294732,axyZ:0.49833, 0.304753, 0.811661,pos:22.2822, 8.55735, 69.7475
旋转后  axeX:0.286325, 0.809799, -0.512098,axyY:-0.813624, 0.487759, 0.316397,axyZ:0.505998, 0.326063, 0.798529,pos:23.8002, 9.53554, 72.1431
旋转前  axeX:0.286325, 0.809799, -0.512098,axyY:-0.813624, 0.487759, 0.316397,axyZ:0.505998, 0.326063, 0.798529,pos:23.8002, 9.53554, 72.1431
旋转后  axeX:0.237295, 0.821449, -0.518568,axyY:-0.825319, 0.452037, 0.338394,axyZ:0.512385, 0.347685, 0.785224,pos:25.3374, 10.5786, 74.4988
旋转前  axeX:0.237295, 0.821449, -0.518568,axyY:-0.825319, 0.452037, 0.338394,axyZ:0.512385, 0.347685, 0.785224,pos:25.3374, 10.5786, 74.4988
旋转后  axeX:0.18764, 0.830969, -0.523719,axyY:-0.834872, 0.415828, 0.36066,axyZ:0.517475, 0.369564, 0.771779,pos:26.8898, 11.6873, 76.8141
旋转前  axeX:0.18764, 0.830969, -0.523719,axyY:-0.834872, 0.415828, 0.36066,axyZ:0.517475, 0.369564, 0.771779,pos:26.8898, 11.6873, 76.8141
旋转后  axeX:0.137504, 0.838326, -0.527544,axyY:-0.842252, 0.379243, 0.383127,axyZ:0.521253, 0.391643, 0.758229,pos:28.4536, 12.8622, 79.0888
旋转前  axeX:0.137504, 0.838326, -0.527544,axyY:-0.842252, 0.379243, 0.383127,axyZ:0.521253, 0.391643, 0.758229,pos:28.4536, 12.8622, 79.0888
旋转后  axeX:0.0870218, 0.843499, -0.530035,axyY:-0.84744, 0.342382, 0.405734,axyZ:0.52371, 0.413865, 0.74461,pos:30.0247, 14.1038, 81.3226
旋转前  axeX:0.0870218, 0.843499, -0.530035,axyY:-0.84744, 0.342382, 0.405734,axyZ:0.52371, 0.413865, 0.74461,pos:30.0247, 14.1038, 81.3226
旋转后  axeX:0.0363393, 0.84647, -0.531195,axyY:-0.850424, 0.305355, 0.428412,axyZ:0.524841, 0.436173, 0.730955,pos:31.5992, 15.4123, 83.5155
